source_id;display_name;provider;source_mode;registry_status;license_status;public_display_allowed;scoring_allowed;source_units;logical_rows;entities;earliest_modified;latest_modified
emlakjet_endeksa_market_collected;Toplanmış bölgesel piyasa ve fiyat serileri;EmlakJet / Endeksa kaynaklı olduğu düşünülen paketler;user_collected_offline_package;owner_rights_declared;user_publication_rights_declared;1;1;155;5371873;price_distribution,price_summary,price_trend;2026-09-07T21:26:19.606608+00:00;2026-09-08T23:32:30.242811+00:00
demography_and_annual_sales_collected;Toplanmış demografi ve yıllık satış serileri;Endeksa demografi uçları kaynaklı olduğu düşünülen paketler;user_collected_offline_package;owner_rights_declared;user_publication_rights_declared;1;1;106;989230;annual_sales,population_profile;2026-09-07T23:16:20.391100+00:00;2026-09-08T23:32:30.260679+00:00
multi_map_poi_collected;Çoklu harita kaynağından toplanmış POI kayıtları;Birden fazla harita sağlayıcısı;user_collected_offline_package;owner_rights_declared;user_publication_rights_declared;1;1;115;1100392;poi;2026-09-08T00:09:28+00:00;2026-09-08T23:32:30.251827+00:00
administrative_geography_collected;İl, ilçe, mahalle ve poligon verileri;Kullanıcı tarafından toplanmış idari coğrafya kaynakları;user_collected_offline_package;owner_rights_declared;user_publication_rights_declared;1;1;2188;68784;administrative_boundary,administrative_guide,district,neighbourhood,province;2026-09-07T23:16:20.397959+00:00;2026-09-09T11:38:42.059758+00:00
property_listings_collected;Toplanmış gayrimenkul ilan gözlemleri;Birden fazla ilan kaynağı;user_collected_offline_package;owner_rights_declared;user_publication_rights_declared;1;1;6;18937;commercial_listing,listing,residential_listing;2026-09-08T11:29:06.302814+00:00;2026-09-09T00:14:21.424109+00:00
property_industry_directory_collected;Emlak ofisi, danışman ve proje şirketi dizini;Toplanmış sektör dizini kaynakları;user_collected_offline_package;privacy_and_license_review_required;user_publication_rights_declared;0;0;193;48049;construction_company,real_estate_advisor,real_estate_office;2026-09-08T00:09:28+00:00;2026-09-08T23:32:30.257616+00:00
restricted_context_collected;Kısıtlı bağlam verileri;Toplanmış seçim, hemşehri ve davranış kaynakları;user_collected_offline_package;restricted;not_evaluated;0;0;103;1449031;election_results,health_behaviour_statistics,registry_origin_distribution;2026-09-07T23:16:20.393527+00:00;2026-09-08T23:32:30.260284+00:00
local_commercial_models;Yerel türetilmiş ticari ve lojistik göstergeler;Yerel model ve toplayıcı çıktıları;derived_local_model;owner_rights_declared;user_owned_verified;1;1;11;4082;delivery_point,socioeconomic_development,spending_ecommerce,vehicle_market;2026-09-08T23:30:20.609070+00:00;2026-09-09T00:14:21.424553+00:00
parcel_and_zoning_mixed;Parsel, ilan ve imar karışık kayıtları;Kullanıcı girdisi ve toplanmış kaynaklar;mixed_offline_and_live;owner_rights_declared;user_publication_rights_declared;1;1;9;50920;parcel_zoning;2026-09-08T11:29:06.302315+00:00;2026-09-09T11:49:36.556231+00:00
gazetteer_collected;Toplanmış coğrafi yer adları;Kaynağı dosya bazında doğrulanacak gazetteer;user_collected_offline_package;owner_rights_declared;user_publication_rights_declared;1;1;2;39514;gazetteer;2026-09-09T11:38:41.895565+00:00;2026-09-09T11:38:42.094446+00:00
collector_operational_metadata;Toplayıcı operasyon ve kontrol kayıtları;Yerel sistem;local_operational;internal_only;local_system;0;0;2;1;collector_checkpoint;2026-09-07T23:45:29.509346+00:00;2026-09-08T22:54:06.204585+00:00
tkgm_live_on_demand;TKGM MEGSİS canlı parsel sorgusu;Tapu ve Kadastro Genel Müdürlüğü;live_page_on_demand;owner_rights_declared;user_publication_rights_declared;1;1;0;0;;;
multi_map_poi_live;Çoklu harita canlı POI sorguları;Sağlayıcı bazında ayrılacak harita servisleri;live_api_on_demand;owner_rights_declared;user_publication_rights_declared;1;1;0;0;;;
unregistered_source;Henüz sınıflandırılmamış kaynak;Bilinmiyor;unknown;unregistered;unknown;0;0;0;0;;;
